stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CANDELARO SS272;2019;1;0;0;0;0;0;2.4;0;0;1.6;0;3.2;0.2
CANDELARO SS272;2019;2;10.2;0.4;1.2;0;0;0;0;0;2.4;0;0.2;0
CANDELARO SS272;2019;3;0;0;0.2;0;0;0;0;0;0.8;12.6;12.6;1.8
CANDELARO SS272;2019;4;1.6;7.4;0;0.4;9.2;0;0;0;0;0.2;1.4;0
CANDELARO SS272;2019;5;3.6;0;0;1.8;0.6;0;0;0;0;0;0;0
CANDELARO SS272;2019;6;8.8;0;0;0;5.2;0;0;0;3;0.4;1.2;0
CANDELARO SS272;2019;7;0;0;0;0;0;0;0;0;1.4;8.8;0;0
CANDELARO SS272;2019;8;0;0.2;0;4.6;0;0;0;0;0;0;0;0
CANDELARO SS272;2019;9;1.2;0;0;13.6;0.4;0.2;9;0;0;0;4;0.2
CANDELARO SS272;2019;10;3.6;0.2;0;0;0.2;0;26.6;0;0;0;0;11
CANDELARO SS272;2019;11;0.2;2.8;4.6;0;0;0;0;0;0;0;0;0
CANDELARO SS272;2019;12;1.4;0;9.8;6.2;11.4;0;0;0;0;0;12;0
CANDELARO SS272;2019;13;0;0;1.8;1;8.8;0;3;0;0;0;0.4;9.8
CANDELARO SS272;2019;14;10.4;0;7.6;8.6;32.8;0;0;1;0;0;0;5.8
CANDELARO SS272;2019;15;4;0;0;2.2;5.2;0;0.8;0;0;0;0;0
CANDELARO SS272;2019;16;0;0;0;0;2.2;0;3.6;0;0;0;0.2;0
CANDELARO SS272;2019;17;0;0;0;0;0.2;0;0;0;0;0;14.4;0
CANDELARO SS272;2019;18;0;0;0;0;0.8;0;0;0;0;0;0;0
CANDELARO SS272;2019;19;0;0;4.2;0;0.2;0;0;0;5;0;0;1.4
CANDELARO SS272;2019;20;0;0;1.8;0;0;0;0;0;0.2;0;1.8;0.2
CANDELARO SS272;2019;21;0.4;0.2;0;0;0;0;0;0;0;0;0;0
CANDELARO SS272;2019;22;9.4;0.2;0;0.8;0;0;0;0;0;0.2;0;1.4
CANDELARO SS272;2019;23;0;0.4;0;0.2;0;0;0;0;4.6;0;0;0
CANDELARO SS272;2019;24;1;0;0;0;0;0;0;0;0;0;25.8;0
CANDELARO SS272;2019;25;1.6;0;0;0;0.2;0;0;0.2;0;0;6.4;0
CANDELARO SS272;2019;26;0;0;4.8;0;6.6;0;0;0;0;0;0;0
CANDELARO SS272;2019;27;0;0;3.4;0;1.6;0;0;0;0;0;0.2;0
CANDELARO SS272;2019;28;3.8;0;0;0;4.2;0;1.4;0;0;0;0;2.8
CANDELARO SS272;2019;29;1;NA;0;8.4;0;0;0;0;0;0;0.2;0.2
CANDELARO SS272;2019;30;0.2;NA;0;0;0;0;0;0;0;0;0;0.2
CANDELARO SS272;2019;31;0;NA;0;NA;0.8;NA;0;0;NA;0;NA;0
