stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CARLANTINO;2019;1;0.2;0.2;0;0;9;11.4;0;0;1.4;0;3.4;0.4
CARLANTINO;2019;2;2.6;1.6;9.2;0;0.2;5.8;0;0;0;0.6;0.2;0
CARLANTINO;2019;3;0;0.2;0;0;0;0;0;0;0.4;15;31.2;6
CARLANTINO;2019;4;0;18.6;0;0;10.4;0;0;0;0;0;1;0
CARLANTINO;2019;5;1.6;0;0;1.6;0.2;0;0;0;0;0;1.6;0.2
CARLANTINO;2019;6;0;0;0;0;3.4;0;0;0;0;0;1.6;1
CARLANTINO;2019;7;9.8;0;0;0;0.2;0;0;0;0;10.6;0;0
CARLANTINO;2019;8;0.2;0.2;0;8.4;0;0;0;0;0;0;2.8;0
CARLANTINO;2019;9;5;0.2;0;0.4;0;0;0.2;0;0;0;7.6;0
CARLANTINO;2019;10;0;0;0;0.2;0;0;14.4;0;0;0;0.4;1
CARLANTINO;2019;11;0.8;2.4;2.2;15;0;0;0;0;0;0;1.2;0
CARLANTINO;2019;12;0.2;4.8;3.4;3.2;18.4;0;14.6;0;0;0.2;15.4;0
CARLANTINO;2019;13;0;0;0;6.4;15.2;0;10;0;0;0;1;8
CARLANTINO;2019;14;2.6;0;2.6;6.4;8.6;0;0;0.6;0;0.6;0;0.8
CARLANTINO;2019;15;8.4;0;0;5;1.6;0.2;0;0;0;1.4;0;0
CARLANTINO;2019;16;0;0;0;0;4.8;0;2.8;0;0;0;3.2;0
CARLANTINO;2019;17;0;0;0;0;0.4;0;0;0;0;0;17;0
CARLANTINO;2019;18;0;0;0;0;0;0;0;0;0;0;0;0
CARLANTINO;2019;19;1.2;0.2;4;0;0.2;0.8;0;0;6.2;0;0;10
CARLANTINO;2019;20;0.6;0;0.2;0;0.2;0;0;0;0;0;0;1.4
CARLANTINO;2019;21;1.2;0.2;0;0;0;0;0;0;0;0;0;0.6
CARLANTINO;2019;22;13;0.2;0;2.4;1.2;0;0;0;0;0.2;0;6.2
CARLANTINO;2019;23;0;0;0;0;12;0;0;3;5.4;0;0;0.4
CARLANTINO;2019;24;13.6;0;0;0;7;0;0;0.6;0;0.2;15.6;0
CARLANTINO;2019;25;5.8;0;0;0;3.6;0;0;8;0.2;0.2;0.6;0
CARLANTINO;2019;26;0;0;0.8;0.2;16.8;0;0;0.2;0;0.2;0;1
CARLANTINO;2019;27;0.2;0;3.8;0;6.2;0;0;0;0.2;0.2;0.2;0
CARLANTINO;2019;28;3.8;0;0;0;17.4;0;14;5.2;0;0;0;2.6
CARLANTINO;2019;29;1.6;NA;0;17.6;0;0;3;3.8;0;0;0;2.4
CARLANTINO;2019;30;0.4;NA;0;0;0;0;0;0.4;0;0;0;0.6
CARLANTINO;2019;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
