stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CASALNUOVO MONTEROTARO;2019;1;0.4;0;0;0;1.6;9.2;0;0;0.2;0;9.4;0
CASALNUOVO MONTEROTARO;2019;2;6.4;4.6;8.4;0;0;2.6;0;0;0;0;0;0
CASALNUOVO MONTEROTARO;2019;3;0;0;0;0;0;0;0;0;0.2;19.2;20.6;6.2
CASALNUOVO MONTEROTARO;2019;4;0.2;24.2;0;0;10.2;0;0;0;0;0;1.8;0
CASALNUOVO MONTEROTARO;2019;5;3.8;0;0;4.4;0;0;0;0;0;0;1.6;0.4
CASALNUOVO MONTEROTARO;2019;6;0;0;0;0;1.8;0;0;0;0;0;2.4;0.6
CASALNUOVO MONTEROTARO;2019;7;8.8;0;0;0;0.6;0;0;0;0;10.8;0;0
CASALNUOVO MONTEROTARO;2019;8;0;0;0;3.6;0;0;0;0;0;0;0.6;0
CASALNUOVO MONTEROTARO;2019;9;7.2;0;0;2.6;0;0;0;0;0;0;5;0
CASALNUOVO MONTEROTARO;2019;10;0;0;0;0;0;0;9.6;0;0;0;0.2;7.8
CASALNUOVO MONTEROTARO;2019;11;9.4;2.8;1.4;37;0;0;0;0;0;0;2.4;0
CASALNUOVO MONTEROTARO;2019;12;0.6;1.6;2.2;16;14.4;0;7.2;0;0;0;15.6;0
CASALNUOVO MONTEROTARO;2019;13;0;0;0;6.2;24.2;0;9.6;0;0;0;1.2;11.2
CASALNUOVO MONTEROTARO;2019;14;4;0;9.2;13.6;20.6;0;0;0.6;0;0;0;4
CASALNUOVO MONTEROTARO;2019;15;9.4;0.8;0;2.4;4;0;0;0;0;0.2;0;0
CASALNUOVO MONTEROTARO;2019;16;0;0;0;0;8;0;0;0;0;0;0.8;0
CASALNUOVO MONTEROTARO;2019;17;0;0;0;0;0;0;0;0;0;0;16.8;0
CASALNUOVO MONTEROTARO;2019;18;0;0;0;0;0.2;0;0;0;0;0;0;0
CASALNUOVO MONTEROTARO;2019;19;0;0;5.4;0;0;0;0;0;3.8;0;0;13.6
CASALNUOVO MONTEROTARO;2019;20;0.6;0;0.6;0;0.4;0;0;0;0;0;0;2.2
CASALNUOVO MONTEROTARO;2019;21;2;0;0;0;0;0;0;0;0;0;0;0
CASALNUOVO MONTEROTARO;2019;22;20.8;0;0;2;2.4;0;0;0;0;0;0;6.2
CASALNUOVO MONTEROTARO;2019;23;0;0;0;0;0;0;0;2.6;5.2;0;0;0.8
CASALNUOVO MONTEROTARO;2019;24;8.8;0;0;0;3.2;0;0;0;0;0;21.6;0
CASALNUOVO MONTEROTARO;2019;25;1.8;0.2;0;0;0.2;0;0;12.6;0;0;0.6;0
CASALNUOVO MONTEROTARO;2019;26;0;0;3.8;0.2;16.2;0;0;0;0;0;0;0
CASALNUOVO MONTEROTARO;2019;27;0;0;6.6;0;9.4;0;0;0;0;0;0;0
CASALNUOVO MONTEROTARO;2019;28;4.2;0;0;0;13.4;0;6.2;1.2;0;0;0;5.8
CASALNUOVO MONTEROTARO;2019;29;1.2;NA;0;15.8;0;0;0;39.8;0;0;0;7.6
CASALNUOVO MONTEROTARO;2019;30;0.6;NA;0;0;0;0;0;0.2;0;0;0;1.6
CASALNUOVO MONTEROTARO;2019;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
