stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CASTELLANETA;2019;1;1;0;0;0;0;0;0;0;0;0;0;0
CASTELLANETA;2019;2;2.8;0;3.2;0;0;0;0;0;0;0;0;0
CASTELLANETA;2019;3;0.8;1.2;0;0;0;0;0;0;24.4;0;0;0
CASTELLANETA;2019;4;2.2;17;0;4.4;11;0;4.2;0;0;0;2.4;0
CASTELLANETA;2019;5;3.4;0;0;5.4;2;0;0;0;0;0;0;0.4
CASTELLANETA;2019;6;3.2;0;0;0.6;1.8;0;0;0;0;0;3.2;5.4
CASTELLANETA;2019;7;0.2;0;0;12.4;0;0;0;0;3.6;0.8;0.6;0
CASTELLANETA;2019;8;0;0;0;2.4;0;0;0;0;0;0;0;0
CASTELLANETA;2019;9;8.6;0;0;0.8;0;0;0.6;0;0;0;5.4;0
CASTELLANETA;2019;10;8.2;0;0;0;0;0;20.6;0;0;0.2;0;0.6
CASTELLANETA;2019;11;0;1;0;3.8;0;0;0;0;0;0;4.8;4.4
CASTELLANETA;2019;12;0;6.2;14;1.4;19;0;3.2;0;0;0;26.2;0.2
CASTELLANETA;2019;13;0;0;0;16.8;2;0;6.4;0;0;0;0;11
CASTELLANETA;2019;14;7.8;0;10.6;13.4;1.4;0;0;0.2;0;0;0;0.4
CASTELLANETA;2019;15;2;2.6;0;2.8;0.2;0;0;0;0;0;0;0
CASTELLANETA;2019;16;0;0;0;0;17.6;0;8.4;0;0;0.2;0;0
CASTELLANETA;2019;17;0;0;0;0;0;0;0;0;0;0;14.8;0
CASTELLANETA;2019;18;0;0;0;0;0;1.6;0;0;0;0;0;0
CASTELLANETA;2019;19;2;0;0;0;3;0.2;0;0;21.8;0;8.4;0
CASTELLANETA;2019;20;0;0;1.4;0;2.8;0.2;0;0;0;0;4.8;0
CASTELLANETA;2019;21;0.4;0;0;0;0;0;0;0;0;0.2;0;0
CASTELLANETA;2019;22;0;0.4;0;1;0;0;0;0;0;0;0;5
CASTELLANETA;2019;23;0;0.6;0;0.2;0;0;0;0;2.6;0;0;1.2
CASTELLANETA;2019;24;15.4;0;0;0;0;0;0;0.2;0;0;65.2;0.4
CASTELLANETA;2019;25;21.6;1.6;0;0;0;0;0;2.4;0;0;5;0
CASTELLANETA;2019;26;0;0;0;0;4;0;0;0;0.2;0;0.6;0
CASTELLANETA;2019;27;0;0;0;0;20;0;0;0;0;0.2;0;0
CASTELLANETA;2019;28;0;0;3.2;0;0.8;0;0;0;0;0;1.4;4.6
CASTELLANETA;2019;29;0;NA;0;0;0;0;0;0;0;0;0;0.4
CASTELLANETA;2019;30;0.2;NA;0;0.6;0;0;0;0;0;0;0.4;0
CASTELLANETA;2019;31;0.4;NA;0;NA;0;NA;0;22.2;NA;0.2;NA;0
