stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CASTEL DEL MONTE;2019;1;0;0;0;0;0;16.8;0;0;3;0;18.4;0.2
CASTEL DEL MONTE;2019;2;7.6;0;1.4;0;0.2;0.2;0;0;10;0;0;0
CASTEL DEL MONTE;2019;3;3.2;2.2;0;8.8;0;0;0;0;8.6;0;0;0.8
CASTEL DEL MONTE;2019;4;0.4;19.2;0;0.2;5.8;0;2.6;0;0;6.4;6.4;0
CASTEL DEL MONTE;2019;5;15.4;0;0;1.8;0.6;3.2;0;0;0;0.6;0;0.6
CASTEL DEL MONTE;2019;6;1.6;0;0;0.6;1.4;0;0;0;0;0;8;0.4
CASTEL DEL MONTE;2019;7;0;0.2;0;3.2;0;0;0;0;3.8;9.2;2;0.2
CASTEL DEL MONTE;2019;8;0;0;0;9.4;0;0;0;0;0;0;0.2;0
CASTEL DEL MONTE;2019;9;3.4;0.2;0;16.4;0.2;0;0;0;0;0;4.8;0.2
CASTEL DEL MONTE;2019;10;4;0.2;0;2.2;0;0;15.2;0;0;0;0;22.4
CASTEL DEL MONTE;2019;11;0.2;3.8;1.8;0.2;0;0;0;0;0;0;0.6;1
CASTEL DEL MONTE;2019;12;0;0.4;21.4;10.6;8.6;0;1.4;0;0;0.2;30.2;0
CASTEL DEL MONTE;2019;13;0;0;0;11.6;13.6;0;12.6;0;0.2;0;1.2;9.8
CASTEL DEL MONTE;2019;14;8.6;0;9.4;14.2;27.6;0;0.4;0.4;0.2;0.2;0;1.4
CASTEL DEL MONTE;2019;15;1.4;4.8;0;9.6;10;0;0;0;0;0.2;0;0
CASTEL DEL MONTE;2019;16;0;0;0;0;21;0;14.8;0;0;0;0;0.2
CASTEL DEL MONTE;2019;17;0;0;0;0.2;0;0;0;0;0;0;10.6;0.2
CASTEL DEL MONTE;2019;18;0;0;0.2;0;0.8;0;0;0;0;0;0;0
CASTEL DEL MONTE;2019;19;3.2;0;3;0;0;9.2;0;0;1.4;0;0;0
CASTEL DEL MONTE;2019;20;0.2;0;4.2;0;1;0.2;0;0;1.8;0;0.4;0.2
CASTEL DEL MONTE;2019;21;0;0;0.2;0;0;0;0;0;0;0;0;0
CASTEL DEL MONTE;2019;22;0.4;0.4;0.2;0.2;0.4;0;0;0;0;0;0;9.8
CASTEL DEL MONTE;2019;23;0;1.6;0;0.4;0;0;0;0;2.8;0;0;0.8
CASTEL DEL MONTE;2019;24;14;0;0;0.2;0;0;0;0;0;0;20.4;4.4
CASTEL DEL MONTE;2019;25;70.4;4;0;0;0;0;0;0.4;0;0;12.2;0
CASTEL DEL MONTE;2019;26;0.2;1;0.8;0;10.2;0;0;0;0;0;0.2;0
CASTEL DEL MONTE;2019;27;0;0;1.8;0;22.6;0;0;0;0.2;0.2;0.2;0
CASTEL DEL MONTE;2019;28;1;0;3.8;0;1.6;0;0;0;0;0;1.2;6.2
CASTEL DEL MONTE;2019;29;0;NA;0;0.8;0;0;0;0;0;0;0;6.8
CASTEL DEL MONTE;2019;30;0.4;NA;0;0.2;8;0;0;0;0;0;1;9.2
CASTEL DEL MONTE;2019;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0.2
