stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CERIGNOLA;2019;1;0;0;0;0;0;34.6;0;0;0;0;2.2;0
CERIGNOLA;2019;2;3.6;0;0;0;0;0;0;0;2;0;0;0
CERIGNOLA;2019;3;0.2;1;0;0;0;0;0;0;17.8;5;4.6;0
CERIGNOLA;2019;4;0.2;20.4;0;0;4.4;0;2.4;0;0;0.2;2.6;0
CERIGNOLA;2019;5;0;0;0;0;1;0;0;0;0.4;1;0;0.2
CERIGNOLA;2019;6;7;0;0;3.4;0;0;0;0;8.4;0;0.8;0.4
CERIGNOLA;2019;7;0;0;0;0;0;0;0;0;0;24.6;0;0
CERIGNOLA;2019;8;0;0;0;3.8;0;0;0;0;0;0;0;0
CERIGNOLA;2019;9;2.8;0;0;15;0;0;0;0;0;0;4.8;0
CERIGNOLA;2019;10;2.2;0;0;0;0;0;34.4;0;0;0;0;11.6
CERIGNOLA;2019;11;0;13.4;1.8;8.6;0;0;0;0;0;0;2;1.4
CERIGNOLA;2019;12;0;0;12.4;3.2;11.2;0;1.6;0;0;0;19;0.6
CERIGNOLA;2019;13;0;0;1.6;25.6;9.8;0;5;0;0;0;1.2;4.6
CERIGNOLA;2019;14;5.8;0;4.8;17.8;19.8;0;0;0;0;0;0;3.2
CERIGNOLA;2019;15;1.8;0.2;0;2.2;3.6;0;0.6;0;0;0.2;0;0
CERIGNOLA;2019;16;0;0;0;0;5.2;0;8;0;0;0;0;0
CERIGNOLA;2019;17;0;0;0;0;0;0;0;0;0;0;12.8;0
CERIGNOLA;2019;18;NA;0;0;0;1.2;0;0;0;0;0;0;0
CERIGNOLA;2019;19;0;0;1.4;0;0;0;0;0;1;0;0;0
CERIGNOLA;2019;20;0;0;9;0;0.2;0;0;0;4.8;0;0;1.2
CERIGNOLA;2019;21;0;0;0;0;0;0;0;0;0;0;0;0
CERIGNOLA;2019;22;3.2;0;0;0.6;0;0;0;0;0;0;0;2
CERIGNOLA;2019;23;0;0;0;12.4;0;0;0;0.4;1.6;0.2;0;0
CERIGNOLA;2019;24;14.8;0;0;0;0.8;0;0;0;0;0.2;11.4;0
CERIGNOLA;2019;25;46.2;2;0;0;0.8;0;0;1;0;0;14.4;0
CERIGNOLA;2019;26;0;0;0.2;0;11.2;0;0;0;0;0;0;0
CERIGNOLA;2019;27;0;0;3.4;0;1;0;0;0;0;0;0;0
CERIGNOLA;2019;28;3.8;0;1.4;0;5.8;0;12.6;0;0;0;0;6.8
CERIGNOLA;2019;29;0.4;NA;0;7.6;0.4;0;0;0;0;0;0.2;0
CERIGNOLA;2019;30;0.6;NA;0;0;0;0;0;0;0;0;0.2;0
CERIGNOLA;2019;31;0.2;NA;0;NA;0;NA;0;0;NA;0;NA;0
