stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
CONVERSANO;2019;1;0.2;2.2;0;0;0;0;0;0;0;0;1.2;0
CONVERSANO;2019;2;12.8;0;0;0;0;0;0;0;0;0;0;0
CONVERSANO;2019;3;1.6;5;0;0;0;0;0;0;1;2.8;0;0
CONVERSANO;2019;4;2;9.8;0;0;0.4;0;0;0;0;1.4;0.2;0
CONVERSANO;2019;5;16.4;0;0;0.2;2.8;0;0;0;0;0;0;1
CONVERSANO;2019;6;4;0;0;0;4;0;0;0;0;0;2.2;1.4
CONVERSANO;2019;7;0;0;0;23.4;1.2;0;0;0;10;0;0.6;0
CONVERSANO;2019;8;0;0.2;0;7.4;0;0;0;0;0;0;0;0
CONVERSANO;2019;9;4.2;0.2;0;0.8;0;0;0;0;0;0;1.8;0.2
CONVERSANO;2019;10;17.8;0;0;2;0;0;32;0;0;0;0.2;5.6
CONVERSANO;2019;11;3.4;6.4;0;0.2;0;0;0.4;0;0;0;0.2;16.2
CONVERSANO;2019;12;0.2;3.6;27.2;1.6;13.8;0;0;0;0;0.2;39.6;0
CONVERSANO;2019;13;0;0;0;17;7;0;18.8;0;0;0;0.8;3.6
CONVERSANO;2019;14;4.4;0;9;2.2;55.2;0;8.2;0;0;0;0;0.2
CONVERSANO;2019;15;2.8;2;0;20.6;0;0;0.4;0;0;0;0;0
CONVERSANO;2019;16;0;0;0;0;6.8;0;2;0;0;0.2;0;0.2
CONVERSANO;2019;17;0;0;0;0;0;0;0;0;0;0;6.8;0
CONVERSANO;2019;18;0;0;0;0;0;0;0;0;0;0.2;0;0
CONVERSANO;2019;19;0.8;0;1.6;0;0.6;0;0;0;9;0;0;0
CONVERSANO;2019;20;0;0;2.4;0;4.2;0;0;0;2.8;0;7.4;0.2
CONVERSANO;2019;21;0.2;0;0;0;0;0;0;0;0;0;0;1
CONVERSANO;2019;22;0;0;0;0;1.4;0;0;0;0;0.2;0;9.2
CONVERSANO;2019;23;0;0.2;0;0;0;0;0;0;0.6;0.2;0;6.4
CONVERSANO;2019;24;18.6;0;0;0;0;0;0;0;0.4;0;18.2;0
CONVERSANO;2019;25;92.8;7.4;0;0;0;0;0;0;0;0;3.4;0
CONVERSANO;2019;26;5.2;0;0;0;3;0;0;0;0;0;0.2;0
CONVERSANO;2019;27;0;0;4.4;0.8;2.4;0;0;0;0;0.4;0;0.2
CONVERSANO;2019;28;0.4;0;3.4;0;0;0;7.2;0;0;0;1.4;1.6
CONVERSANO;2019;29;1.6;NA;0;0.4;0;0;0;0;0;0;0;0
CONVERSANO;2019;30;0.4;NA;0;0;0.2;0;0;0;0;0;1.4;0
CONVERSANO;2019;31;0;NA;0;NA;0;NA;0;0;NA;0.4;NA;0
