stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MAGLIE;2019;1;0;0;0;0;3.2;0.4;0;0;0;0;0;0
MAGLIE;2019;2;1;0;0;0;8;24.8;0;0;17.2;0;1.8;4
MAGLIE;2019;3;7.4;0;0;0;0;0;0;0;6.8;11.2;4;0.8
MAGLIE;2019;4;4.8;6;0;1.6;10.8;6.4;0;0;0;1;6.8;0
MAGLIE;2019;5;2.4;0;0;7;6;0;0;0;0;0;0;6.8
MAGLIE;2019;6;1.2;0;0;0;0;0;0;0;3;0;1.2;33
MAGLIE;2019;7;0.4;0;0;11.8;0;0;0;0;0;0;14.6;0
MAGLIE;2019;8;0.6;0;0;9.2;0;0;0;0;0;0;3;0
MAGLIE;2019;9;6;0;0;14.2;0;0;0;0;0;0;6.4;0.4
MAGLIE;2019;10;0.4;0;0;0;0.2;0;0;0;0;0;0.2;0.4
MAGLIE;2019;11;0;0;0;13.2;0;0;0;0;11.2;0;0.4;6.4
MAGLIE;2019;12;0;3;17;4.2;38.8;0;0.8;0;0;0.2;32.8;0
MAGLIE;2019;13;0;0.8;0;7.8;18;0;34.6;0;0;0;2;4
MAGLIE;2019;14;5.8;0;4.4;2.4;4.8;0;0.2;0;0;0;0;0
MAGLIE;2019;15;1.2;0;0;17.4;11.2;0;0;0;0;0.2;0;0
MAGLIE;2019;16;0;0;0;0;2.2;0;41.4;0;0;0.2;0;0
MAGLIE;2019;17;0;0;0;0;0;0;0;0;0;1.8;9.6;0
MAGLIE;2019;18;1.6;0;0;0;0;0.6;0;0;0;0;0;0
MAGLIE;2019;19;11.2;0;0;0;0;4;0;0;6.8;0;22.8;1.2
MAGLIE;2019;20;0.8;0;0;0;0;0;0;0;0.2;0;0.6;1.2
MAGLIE;2019;21;0.4;0;0;0;0;0;0;0;0;0;0;2.8
MAGLIE;2019;22;12.4;1.2;0;0;0;0;0;0;0;0.4;0;9.4
MAGLIE;2019;23;0.2;6.8;0;0.2;0;0.2;0;0;0;0.2;0;5.6
MAGLIE;2019;24;25.2;0;0;0;0;0;0;0;0;0.2;39.2;0.2
MAGLIE;2019;25;6.8;0;0;0;0.2;0;0;0;0;0.2;14.8;0
MAGLIE;2019;26;0;0;1.4;0;0;0;0;0;0;0.2;0;0
MAGLIE;2019;27;0;0;2.2;0.8;1.8;0;0;0;0;0.2;0;0
MAGLIE;2019;28;0;0;17.2;0;0;0;0;0;0;0;3.8;2
MAGLIE;2019;29;0;NA;0;0;0;0;0;0.2;0;0.2;0;0
MAGLIE;2019;30;0;NA;0;0;0;0;0;0;0;0;0;0
MAGLIE;2019;31;1.6;NA;0;NA;0;NA;0;0.8;NA;1;NA;0
