stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MASSAFRA;2019;1;1.8;0;0;0;0;0;0;0;0;0;0;0
MASSAFRA;2019;2;2.2;0;3.6;0;0;27.2;0;0;0;0;1.6;0
MASSAFRA;2019;3;3.2;0.4;0;0;0;0;0;0;68.2;0.4;0.6;0
MASSAFRA;2019;4;3;9.4;0;8.4;12.2;0;0;0;0;0;0.2;0
MASSAFRA;2019;5;11;0;0;7.2;4.4;0;0;0;0;0;0;4.2
MASSAFRA;2019;6;3.6;0;0;0.4;3.6;0;0;0;0;0;4.6;5.6
MASSAFRA;2019;7;0;0;0;17;0;0;0;0;0;0.6;1.8;0
MASSAFRA;2019;8;0;0;0;6.6;0;0;0;0;0;0;0;0
MASSAFRA;2019;9;11;0;0;0.8;0;0;0.6;0;0;0;2.6;0
MASSAFRA;2019;10;6;0;0;0;0;0;8.4;0;0;0;0.2;0
MASSAFRA;2019;11;0.2;0.2;0;4.4;0;0;0;0;0;0;1.2;1.6
MASSAFRA;2019;12;0;7.4;21.6;0;25;0;2.6;0;0;0;35;0
MASSAFRA;2019;13;0;0;0;14.8;14.2;0;16.6;0;0;0;0.6;12.2
MASSAFRA;2019;14;7;0;9.2;15.4;9.8;0;0;0;0;0;0;0
MASSAFRA;2019;15;5.2;0.2;0;4.2;0;0;0;0;0;0;0;0
MASSAFRA;2019;16;0;0;0;0;11.4;0;6.8;0;0;0;0;0
MASSAFRA;2019;17;0;0;0;0;0;0;0;0;0;0;10.8;0
MASSAFRA;2019;18;0;0;0;0;0;0;0;0;0;0;0;0
MASSAFRA;2019;19;3.6;0;0;0;0;0;0;0;36.6;0;7.4;0
MASSAFRA;2019;20;0;0;0.8;0;3;0;0;0;0;0;2.6;0.2
MASSAFRA;2019;21;2.8;0;0;0;0;0;0;0;0;0;3.2;0.2
MASSAFRA;2019;22;0.2;0.2;0;1.4;0;0;0;0;0;0;0;10.2
MASSAFRA;2019;23;0;3.2;0;0;0;0;0;0;1.6;0;0;0.6
MASSAFRA;2019;24;18.8;0;0;0;0;0;0;0;0;0;41.2;1.6
MASSAFRA;2019;25;9.8;1.4;0;0;0;0;0;0;0;0;1.4;0
MASSAFRA;2019;26;0.2;0;0.2;0;2.4;0;0;0;0;0;0;0
MASSAFRA;2019;27;0;0;0.2;1.2;13.4;0;0;0;0;0;0;0
MASSAFRA;2019;28;1.4;0;4;0;0;0;0;0;0;0;4.8;5.2
MASSAFRA;2019;29;0;NA;0;0;0;0;0;0;0;0;0;0
MASSAFRA;2019;30;0;NA;0;0.4;0;0;0;0;0;0;0.8;0
MASSAFRA;2019;31;0.4;NA;0;NA;0;NA;0;0;NA;0;NA;0
