stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
MONOPOLI;2019;1;0;0.4;0;0;0;0;0;0;0.2;0;0.4;0
MONOPOLI;2019;2;0.4;0;0;0;0;0;0;0;14.4;0.2;0;0
MONOPOLI;2019;3;0.2;0.8;0;0;0;0;0;0;0;2;0;0
MONOPOLI;2019;4;0.2;0.4;0;0;2.2;0;0;0;0;0;0.4;0
MONOPOLI;2019;5;0.6;0;0;0.2;2.8;0;0;0;0;0;0;0
MONOPOLI;2019;6;1.2;0;0;0;10.8;0;0;0;0;0;1.4;1.6
MONOPOLI;2019;7;0;0.6;0;30.2;0.2;0;0;0;4.2;0;1.4;0.2
MONOPOLI;2019;8;0;0;0;5.4;0;0;0;0;0;0;0;0
MONOPOLI;2019;9;0.4;0;0;0.2;0;0;1.2;0;0.2;0;3;0
MONOPOLI;2019;10;0.6;0;0;1.6;0;0;53.6;0;0;0;0;2.8
MONOPOLI;2019;11;0.2;1.2;0;0.2;0;0;0;0;0;0;1.6;23.2
MONOPOLI;2019;12;0;0.2;2.2;4.2;23;0;1.2;0;0;0;46.8;0
MONOPOLI;2019;13;0;0;0;5.4;2.8;0;11.6;0;0;0;9.2;1.8
MONOPOLI;2019;14;0.4;0;11;3.4;11.2;0;0.6;0;0;0;0;0.2
MONOPOLI;2019;15;0.2;0;0;25;0;0;0;0;0;0;0;0
MONOPOLI;2019;16;0;0;0;0;4.8;0;6.2;0;0;0;0;0
MONOPOLI;2019;17;0;0;0;0;0;0;0;0;0;0;8.6;0
MONOPOLI;2019;18;0;0;0;0;0;0;0;0;0;0;0;0
MONOPOLI;2019;19;0;0;0.8;0;0.2;0;0;0;13.2;0;0.6;0
MONOPOLI;2019;20;0;0;0.4;0;8.2;0;0;0;0;0;9.4;0.6
MONOPOLI;2019;21;0;0;0;0;0;0;0;0;0;0;0;0.8
MONOPOLI;2019;22;0.8;0;0;0;0.6;0;0;0;0;0.2;0;6
MONOPOLI;2019;23;0;0.2;0;0;0;0;0;0;0;0.2;0;7.6
MONOPOLI;2019;24;1.4;0;0;0;0;0;0;0;5.6;0;13.6;10
MONOPOLI;2019;25;2.4;0.4;0;0;0;0;0;0;0;0;3;0
MONOPOLI;2019;26;0;0;0;0;2.2;0;0;0;0;0;0.2;4.6
MONOPOLI;2019;27;0;0;1.8;0.8;1.4;0;0;0;0;0.2;0;0
MONOPOLI;2019;28;0;0;3.4;0;0;0;0.6;0;0;0;0.8;0.2
MONOPOLI;2019;29;0;NA;0;0;0.2;0;0;0;0;0;0;0
MONOPOLI;2019;30;0.2;NA;0;0;0.2;0;0;0;0;0;1;0
MONOPOLI;2019;31;0;NA;0;NA;0.2;NA;0;0;NA;0;NA;0
