stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
ORSARA DI PUGLIA;2019;1;0;0.8;0;0;14.2;8.6;0;0;4.6;0;4.8;0.2
ORSARA DI PUGLIA;2019;2;0.6;2.8;3;0;0;1.8;0;0;0;0.8;0;0
ORSARA DI PUGLIA;2019;3;0;0.4;0;0;0;0;0;0;0;7.6;46.4;0.2
ORSARA DI PUGLIA;2019;4;0;31.8;0.2;2.2;8.4;0;0.8;0;0;0;7.8;0
ORSARA DI PUGLIA;2019;5;5.4;0;0;6.8;3;0;0;0;4;0.2;0.2;2.6
ORSARA DI PUGLIA;2019;6;7.6;0;0;0;2;0;0;0;0.2;0;22;1.6
ORSARA DI PUGLIA;2019;7;6.8;0;0;0;0;0;0;0;0;13.6;0;0
ORSARA DI PUGLIA;2019;8;1.2;0;0;14;0;0;0;0;0;0;3.2;0
ORSARA DI PUGLIA;2019;9;2.2;0;0;3.6;0;0;8.2;0;3.2;0;16.6;0
ORSARA DI PUGLIA;2019;10;0.2;0;0;0;0;0;9;0;0;0;0;7.6
ORSARA DI PUGLIA;2019;11;5;3.6;6.2;1;0;0;0;0;0;0;1;0
ORSARA DI PUGLIA;2019;12;1;2.6;3.4;12.8;13.6;0;30.4;0;0;0;15.4;0
ORSARA DI PUGLIA;2019;13;0.2;0;0;2;25.8;0;21;0;0;0;5.2;9.8
ORSARA DI PUGLIA;2019;14;5.6;0;5.2;9.2;6.6;0;0;0;0;0.4;0;2
ORSARA DI PUGLIA;2019;15;11;4.2;0;20.2;9;0;0;0;0;0;0;0
ORSARA DI PUGLIA;2019;16;0;0;0;0.8;15.6;0;32.8;0;0;0;0;0
ORSARA DI PUGLIA;2019;17;0;0;0;0;0.2;0;0;0;0;0;21.6;0
ORSARA DI PUGLIA;2019;18;0.2;0;0;0;1.6;0;0;0;0;0;0;0
ORSARA DI PUGLIA;2019;19;0;0;1.6;0;0.4;0;0;0;11.6;0;0;4.6
ORSARA DI PUGLIA;2019;20;0.8;0;5.6;0;1.2;0;0;0;1;0;0;6.8
ORSARA DI PUGLIA;2019;21;1.8;0;0;0;0;0;0;0;0;0;0;11.2
ORSARA DI PUGLIA;2019;22;17.4;0;0;2.4;0;0;0;0;0;0;0;34.6
ORSARA DI PUGLIA;2019;23;1.2;0;0;0.2;11.6;0;0;14;6.2;0;0;0.2
ORSARA DI PUGLIA;2019;24;15.8;0;0;0;0;0;0;0.2;0;0;20;0
ORSARA DI PUGLIA;2019;25;9.2;0.6;0;0;0.8;0;0;33.8;0.2;0;18.8;0
ORSARA DI PUGLIA;2019;26;0;2.8;2.2;0;25.8;0;0;2.6;0.4;0;0.6;0
ORSARA DI PUGLIA;2019;27;0;0.2;1.8;0;2.6;0;0;0;0;0;0.2;0
ORSARA DI PUGLIA;2019;28;17.2;0;0;0;1.8;0;3.8;1;0;0;0.6;3.2
ORSARA DI PUGLIA;2019;29;5.8;NA;0;5.6;0.2;0;0;2;0;0;9.4;0.2
ORSARA DI PUGLIA;2019;30;3.6;NA;0;0;5.2;0;0;0;0;0;0.2;3.8
ORSARA DI PUGLIA;2019;31;1;NA;0;NA;0;NA;0;1;NA;0.8;NA;0
