stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
PALAGIANO;2019;1;3.4;0;0;0;0;0;0;0;0;0;0;0
PALAGIANO;2019;2;1.8;0;3;0;0;2;0;0;0;0;1.4;0
PALAGIANO;2019;3;2.2;0.6;0;0;0;0;0;0;23.4;0.4;0;0
PALAGIANO;2019;4;3.6;19;0;8;11.4;0;0;0;0;0;1;0
PALAGIANO;2019;5;4;0;0;4;2.4;0;0;0;0;0;0;1.8
PALAGIANO;2019;6;5.6;0;0;5.6;1.4;0;0;0;0;0;3.6;3.6
PALAGIANO;2019;7;0;0;0;22.8;0;0;0;0;0;0.8;1.4;0.2
PALAGIANO;2019;8;0;0.2;0;8.8;0;0;0;0;0;0;0;0
PALAGIANO;2019;9;10.8;0;0;0.2;0;0;2.6;0;0;0;2.6;0
PALAGIANO;2019;10;5.6;0;0;0;0;0;8;0;0;0;0;0
PALAGIANO;2019;11;0.2;0;0;4.8;0;0;0;0;0;0;4;3.4
PALAGIANO;2019;12;0;4.8;22.2;0;25;0;3.6;0;0;0;36.6;0
PALAGIANO;2019;13;0;0;0;15.6;10;0;10.6;0;0;0;0;12.4
PALAGIANO;2019;14;7.4;0;7.8;19.4;1.4;0;0;0;0;0;0;0
PALAGIANO;2019;15;3.6;2.8;0;2.8;0;0;0;0;0;0;0;0
PALAGIANO;2019;16;0;0;0;0;7.4;0;5.6;0;0;0;0;0.2
PALAGIANO;2019;17;0;0;0;0;0;0;0;0;0;0;12.6;0
PALAGIANO;2019;18;0.2;0;0;0;0;0;0;0;0;0;0;0
PALAGIANO;2019;19;2.4;0;0;0;0.8;0;0;0;29;0;17.4;0
PALAGIANO;2019;20;0.4;0;1.2;0;2;0;0;0;0;0;1.4;0
PALAGIANO;2019;21;0.4;0;0;0;0;0;0;0;0;0;1.2;0.4
PALAGIANO;2019;22;2.2;0;0;1.4;0;0;0;0;0;0;0;12.6
PALAGIANO;2019;23;0;1.8;0;0;0;0;0;0;1.4;0;0;1
PALAGIANO;2019;24;19.4;0;0;0;0.2;0;0;0;0;0;56;0.4
PALAGIANO;2019;25;14.4;2;0;0;0;0;0;7.6;0;0;3.4;0
PALAGIANO;2019;26;0.2;0;0;0;3.4;0;0;0;0;0;0;0
PALAGIANO;2019;27;0;0;0;0.6;13;0;0;0;0;0;0.2;0
PALAGIANO;2019;28;0.6;0;3.6;0;0;0;0;0;0;0;6.4;3.6
PALAGIANO;2019;29;0;NA;0;0;0;0;0;0;0;0;0;0
PALAGIANO;2019;30;0;NA;0;0;0;0;0;0;0;0;0.6;0.2
PALAGIANO;2019;31;0.4;NA;0;NA;0;NA;0;0.4;NA;0;NA;0
