stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
RUVO DI PUGLIA;2019;1;0;0;0;0;0;0;0;0;0.4;0;2.4;0
RUVO DI PUGLIA;2019;2;10;0;0.2;0;0;0;0;0;39.6;0;0;0
RUVO DI PUGLIA;2019;3;9.8;0.4;0;1.8;0;0;0;0;15.8;5.6;0;1
RUVO DI PUGLIA;2019;4;4.8;10.4;0;0;4.4;0;5.2;0;0;2.2;2.6;0
RUVO DI PUGLIA;2019;5;23.6;0;0;5;0;0;0;0;0;0;0;0.6
RUVO DI PUGLIA;2019;6;1.6;0;0;0;3;0;0;0;0;0;4.2;0.8
RUVO DI PUGLIA;2019;7;0;0;0;8.2;0;0;0;0;18;0.6;0.4;0
RUVO DI PUGLIA;2019;8;0;0;0;6.2;0;0;0;0;0.4;0;0;0
RUVO DI PUGLIA;2019;9;6.6;0;0;4.8;0;0;0;0;0;0;6.6;0
RUVO DI PUGLIA;2019;10;4.6;0;0;2.4;0;0;16.2;0;0;0;0.4;19.6
RUVO DI PUGLIA;2019;11;7.4;5.6;0;0.4;0;0;0;0;0;0;0.4;0.2
RUVO DI PUGLIA;2019;12;0.4;0.2;14.6;6.2;9.8;0;0.2;0;0;0;67.8;0
RUVO DI PUGLIA;2019;13;0.2;0;0;3.8;8.8;0;25.8;0;0;0;0.4;5
RUVO DI PUGLIA;2019;14;6.4;0;5.4;15.8;34;0;0;2;0;0;0;0.4
RUVO DI PUGLIA;2019;15;4.6;1.2;0;13.6;3.4;0;0;0;0;0;0;0
RUVO DI PUGLIA;2019;16;0;0;0;0;8.6;0;2.8;0;0;0;0;0.2
RUVO DI PUGLIA;2019;17;0;0;0;0;0;0;0;0;0;0;6.2;0
RUVO DI PUGLIA;2019;18;0;0;0;0;0.2;0;0;0;0;0;0;0
RUVO DI PUGLIA;2019;19;0.2;0;0;0;0;0;0;0;0;0;0;0
RUVO DI PUGLIA;2019;20;0;0;2;0;0;0;0;0;0.4;0;1.4;0.6
RUVO DI PUGLIA;2019;21;0;0.2;0;0;0;0;0;0;0;0;0;0.2
RUVO DI PUGLIA;2019;22;0.2;0;0;0;0.2;0;0;0;0;0.2;0;4.6
RUVO DI PUGLIA;2019;23;0;0;0;0;0;0;0;0;2.4;0;0;2
RUVO DI PUGLIA;2019;24;21.2;0;0;0;0;0;0;0;0;0;22.6;1.2
RUVO DI PUGLIA;2019;25;69.4;1.4;0;0;0;0;0;0;0;0;6.2;0
RUVO DI PUGLIA;2019;26;0.6;0;1.8;0;9.2;0;0;0;0;0;0;0
RUVO DI PUGLIA;2019;27;0;0;3.2;0;1.6;0;0;0;0;0;0;0
RUVO DI PUGLIA;2019;28;0;0;3.8;0;1.6;0;0;0;0;0;0.2;12
RUVO DI PUGLIA;2019;29;0;NA;0;4;0;0;0;0;0;0;0;4.4
RUVO DI PUGLIA;2019;30;0;NA;0;0;0.6;0;0;0;0;0;0.2;0
RUVO DI PUGLIA;2019;31;0.4;NA;0;NA;0;NA;0;0;NA;4.8;NA;0
