stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN GIORGIO JONICO;2019;1;0;0;0;0;0.8;1.2;0;0;0;0;0;0
SAN GIORGIO JONICO;2019;2;2;0;0;0;0;1.2;0;0;0.8;0;2.2;0
SAN GIORGIO JONICO;2019;3;1;1;0;0;0;0.4;0;0;12;1.4;0;0
SAN GIORGIO JONICO;2019;4;2.6;10;0;7.6;19.6;0.4;0;0;0;0;0.2;0
SAN GIORGIO JONICO;2019;5;4;0;0;2.6;0.2;0.2;0;0;0;0;0;0.2
SAN GIORGIO JONICO;2019;6;3.6;0;0;0;4.6;0;0;0;0;0;0.4;9
SAN GIORGIO JONICO;2019;7;0;0;0;19.8;0;0;0;0;3.4;0.4;6.2;0.2
SAN GIORGIO JONICO;2019;8;0;0;0;8.4;0;0;0;0;0;0;0;0
SAN GIORGIO JONICO;2019;9;4.6;0;0;0.4;0;0;0.8;0;0;0;3.2;0.2
SAN GIORGIO JONICO;2019;10;9.2;0;0;0;0;0;21.6;0;0;0;0.6;0
SAN GIORGIO JONICO;2019;11;0.6;0;0;0;0;0;0;0;0;0;3;2.2
SAN GIORGIO JONICO;2019;12;0;0.6;10.6;0;36.2;0;1.8;0;0;0;78.4;0.2
SAN GIORGIO JONICO;2019;13;0;0;0;11;3.6;0;10.4;0;0;0;2.8;8.2
SAN GIORGIO JONICO;2019;14;6.2;0;13;5.4;1.6;0;0;0;0;0;0;0
SAN GIORGIO JONICO;2019;15;1.4;0.4;0;5;0.2;0;0;0;0;0;0;0
SAN GIORGIO JONICO;2019;16;0;0;0;0;11.2;0;20;0;0;0.2;0;0
SAN GIORGIO JONICO;2019;17;0;0;0;0;0;0;0;0;0;0;10.4;0
SAN GIORGIO JONICO;2019;18;0;0;0;0;0;0;0;0;0;0;2.6;0
SAN GIORGIO JONICO;2019;19;0.4;0;0;0;0;0;0;0;13.2;0;0.6;0.2
SAN GIORGIO JONICO;2019;20;0;0.2;0;0;0;0;0;0;0;0;5;0
SAN GIORGIO JONICO;2019;21;0;0;0;0;0;0;0;0;0;0;0;0.2
SAN GIORGIO JONICO;2019;22;0;0;0;1;0;0;0;0;0;0;0;8
SAN GIORGIO JONICO;2019;23;0;0.2;0;0;0.6;0;0;0;0;0;0;0.8
SAN GIORGIO JONICO;2019;24;21.2;0;0;0;0;0;0;0;0;0;28.8;0.6
SAN GIORGIO JONICO;2019;25;7.6;0;0;0;0;0;0;0;0;0;0.8;0
SAN GIORGIO JONICO;2019;26;1;0;0;0;1.2;0;0;0;0;0;0;0
SAN GIORGIO JONICO;2019;27;0;0;1.2;0.2;9.2;0;0;0;0;0;0;0
SAN GIORGIO JONICO;2019;28;0.4;0;11.8;0;0;0;0;0;0;0;0;0.2
SAN GIORGIO JONICO;2019;29;0;NA;0;0;0;0;0;0;0;0;0;0.2
SAN GIORGIO JONICO;2019;30;0;NA;0;0;0;0;0;0;0;0;0.2;0
SAN GIORGIO JONICO;2019;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
