stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN MARCO IN LAMIS;2019;1;4;0.6;0;0;0;0.2;0;0;0;0;0;0.2
SAN MARCO IN LAMIS;2019;2;17.6;0;2.2;0;0;0.2;0;0.2;6.4;0;0.2;0
SAN MARCO IN LAMIS;2019;3;1.8;0;0;0;0;0;0;0;8.2;30.2;24.8;1.8
SAN MARCO IN LAMIS;2019;4;0;8.8;0;4.2;10;0;0;0;0;2;2;0
SAN MARCO IN LAMIS;2019;5;6.6;2.6;0;7.4;1.4;0;0;0;0;0;0;0.6
SAN MARCO IN LAMIS;2019;6;18.8;0.4;0;0;8.4;0.2;0;0;0;0.2;2.2;0.8
SAN MARCO IN LAMIS;2019;7;0.8;0;0;2.4;0;0;0;0;5.8;14.4;0;0.2
SAN MARCO IN LAMIS;2019;8;0;0;0;5.2;0;0;0;0;0;0;0;0
SAN MARCO IN LAMIS;2019;9;9.4;0;0;28.2;0.8;0;7.6;0;0;0;8.6;0.2
SAN MARCO IN LAMIS;2019;10;7.4;0;0;0;0;0;81.6;0;0;0;0;23.2
SAN MARCO IN LAMIS;2019;11;6;15.2;7.6;0;0;0;0;0;0;0;1.2;0
SAN MARCO IN LAMIS;2019;12;2;0.4;19.8;0.2;21.6;0;0;0;0;0;27;0
SAN MARCO IN LAMIS;2019;13;0;0;2.8;4.8;13.6;0;13.6;0;0;0;2.4;16
SAN MARCO IN LAMIS;2019;14;6;0;24.8;9;50.6;0;0;0;0;0.2;0;14
SAN MARCO IN LAMIS;2019;15;12;0;0;4.2;4.8;0;0.2;0.6;0;0;0;0
SAN MARCO IN LAMIS;2019;16;0;0;0;0;1.8;0;14.6;0;0;0;0;0
SAN MARCO IN LAMIS;2019;17;0;0;0;0;0;0;0;0;0;0;17.8;0
SAN MARCO IN LAMIS;2019;18;0;0;0;0;2;1;0;0;0;0;0.2;0
SAN MARCO IN LAMIS;2019;19;0;0;1.8;0;0;0;0;0;2.6;0;0.8;6.6
SAN MARCO IN LAMIS;2019;20;0;0;8;0;0;0;0;0;0;0;2.2;0.4
SAN MARCO IN LAMIS;2019;21;0.2;0;0;0;0.4;NA;0;0;0;0;0;0
SAN MARCO IN LAMIS;2019;22;5.8;1.4;0;1.2;0;NA;0;0;0;0;0;3.2
SAN MARCO IN LAMIS;2019;23;0;2;0;0;0;NA;0;0;4.8;0;0;0.2
SAN MARCO IN LAMIS;2019;24;6.6;0;0;0;0;NA;0;0;6.2;0;48.2;0
SAN MARCO IN LAMIS;2019;25;17.8;0.8;0;0;0.6;NA;0;0.8;0;0;1.8;0
SAN MARCO IN LAMIS;2019;26;0.2;0;3.4;0;15.2;NA;0;3;0;0;2.8;0
SAN MARCO IN LAMIS;2019;27;0;0;5.6;0;3.6;NA;0;0;0;0;0;0
SAN MARCO IN LAMIS;2019;28;9;0;0;1;4.4;NA;6.8;0;0;0;0.4;8.2
SAN MARCO IN LAMIS;2019;29;2.4;NA;0;12.2;0;NA;0;2.4;0;0;0.8;1.4
SAN MARCO IN LAMIS;2019;30;2;NA;0;0.6;0.6;NA;0;0;0;0;0;1.6
SAN MARCO IN LAMIS;2019;31;0.2;NA;0;NA;1.6;NA;0;0;NA;0;NA;0
