stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN PANCRAZIO SALENTINO;2019;1;0;0;0;0;11;0;0;0;7.6;0;0;0
SAN PANCRAZIO SALENTINO;2019;2;5.4;0;0;0;0;27.4;0;0;0.2;0;12.6;0
SAN PANCRAZIO SALENTINO;2019;3;6.6;0.2;0;0;0;0;0;0;8.2;15.4;0;0
SAN PANCRAZIO SALENTINO;2019;4;4;5.4;0;7.8;20.6;0;0;0;0;0;0.2;0
SAN PANCRAZIO SALENTINO;2019;5;16.8;0;0;5.2;0.4;1.6;0;0;0;0;0;0
SAN PANCRAZIO SALENTINO;2019;6;2.4;0;0;0;5.8;0;0;0;0;0;4;20
SAN PANCRAZIO SALENTINO;2019;7;0;0;0;12.8;0;0;0;0;0;0.8;9.2;0
SAN PANCRAZIO SALENTINO;2019;8;0.2;0;0;15.6;0;0;0;0;0;0;0;0
SAN PANCRAZIO SALENTINO;2019;9;4;0.2;0;4;0;0;0.4;0;0;0;17.8;0
SAN PANCRAZIO SALENTINO;2019;10;5.8;0;0.2;0;0;0;16.6;0;0;0;0.2;0
SAN PANCRAZIO SALENTINO;2019;11;0;0;0;0;0;0;0;0;0;0;0;4.4
SAN PANCRAZIO SALENTINO;2019;12;0;0.2;11.6;0;16;0;1.2;0;0;0.2;59.8;0.4
SAN PANCRAZIO SALENTINO;2019;13;0;0.2;0;1.6;11.8;0;38.4;0;0;0;5.8;1.6
SAN PANCRAZIO SALENTINO;2019;14;2.4;0;8.2;0.8;0;0;0;0;0;0;0;0
SAN PANCRAZIO SALENTINO;2019;15;0;0.8;0;26.8;4.6;0;0;0;0;0.2;0;0
SAN PANCRAZIO SALENTINO;2019;16;0;0;0;0;9.2;0;12.4;0;0;0;0;0
SAN PANCRAZIO SALENTINO;2019;17;0;0;0;0;0;0;0;0;0;0.2;7.2;0
SAN PANCRAZIO SALENTINO;2019;18;0;0;0;0;0;0;0;0;0;0;0;0
SAN PANCRAZIO SALENTINO;2019;19;0.8;0;0;0;0;0;0;0;24.4;0.2;3.6;0.6
SAN PANCRAZIO SALENTINO;2019;20;0;0;0;0;0;0;0;0;0;0;5.2;1.4
SAN PANCRAZIO SALENTINO;2019;21;0.2;0;0;0;0;0;0;0;0;0.2;0;1.6
SAN PANCRAZIO SALENTINO;2019;22;1.6;0;0;0.2;0;0;0;0;0;0.4;0;6.8
SAN PANCRAZIO SALENTINO;2019;23;0;0.8;0;0;0;0;0;0;0.2;0.4;0;1.6
SAN PANCRAZIO SALENTINO;2019;24;25;0;0;0;0;0;0;0;0;0.2;15;2
SAN PANCRAZIO SALENTINO;2019;25;3;0;0;0;0;0;0;0;0;0;2.8;0
SAN PANCRAZIO SALENTINO;2019;26;0.8;0;0;0;0.6;0;0;0;0;0.4;0;0
SAN PANCRAZIO SALENTINO;2019;27;0;0;9.8;5;2.2;0;0;0;0;0.2;0;0
SAN PANCRAZIO SALENTINO;2019;28;0;0;6;0;0;0;0;0;0;0.2;0.2;7.6
SAN PANCRAZIO SALENTINO;2019;29;0;NA;0;0;0;0;0;0;0;0.2;0;0.4
SAN PANCRAZIO SALENTINO;2019;30;1.4;NA;0;0;0;0;0;0;0;15;0.2;0
SAN PANCRAZIO SALENTINO;2019;31;0;NA;0;NA;0;NA;0;0;NA;0;NA;0
