stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN PAOLO CIVITATE;2019;1;0;0;0;0;0;7.6;0;0;0;0;1.4;0.2
SAN PAOLO CIVITATE;2019;2;8;0;1.8;0;0;0.4;0;0;0;0;0;0
SAN PAOLO CIVITATE;2019;3;0;0;0;0;0;0;0;0;1.2;15.4;15.4;5.2
SAN PAOLO CIVITATE;2019;4;0;20.6;0;0;10;0;0;0;0;0;1.4;0
SAN PAOLO CIVITATE;2019;5;2.8;0;0;1.4;0.2;0;0;0;0;0;0;0
SAN PAOLO CIVITATE;2019;6;1.4;0;0;0;8.2;0;0;0;0;0;0;0.4
SAN PAOLO CIVITATE;2019;7;4.8;0;0;0;0;0;0;0;0;11;0;0.2
SAN PAOLO CIVITATE;2019;8;0;0;0;0;0;0;0;0;0;0;0;0
SAN PAOLO CIVITATE;2019;9;10.2;0;0;6.2;0.8;0;11.8;0;0;0;4.4;0.2
SAN PAOLO CIVITATE;2019;10;3.8;0;0;0.8;0;0;41.2;0;0;0;0;21.4
SAN PAOLO CIVITATE;2019;11;8.8;20;4.8;7.6;0;0;0;0;0;0;0.4;0
SAN PAOLO CIVITATE;2019;12;2.6;0;1.8;2.2;17.4;0;1;0;0;0;12.8;0
SAN PAOLO CIVITATE;2019;13;0;0;1.2;2;24.6;0;1.4;0;0;0;0.6;7.8
SAN PAOLO CIVITATE;2019;14;9;0;10.2;2.6;23.6;0;0;0;0;0;0;5
SAN PAOLO CIVITATE;2019;15;8.4;0;0;1.2;2.6;0;0;0;0;0;0;0
SAN PAOLO CIVITATE;2019;16;0;0;0;0;2.4;0;0;0;0;0;0.2;0
SAN PAOLO CIVITATE;2019;17;0;0;0;0;0.2;0;0;0;0;0;11.6;0.4
SAN PAOLO CIVITATE;2019;18;0;0;0;0;0.8;0;0;0;0;0;0;0
SAN PAOLO CIVITATE;2019;19;1.6;0;3.4;0;0;0;0;0;30.6;0;0;38.8
SAN PAOLO CIVITATE;2019;20;0.4;0;0;0;0;0;0;0;0.4;0;0;0.4
SAN PAOLO CIVITATE;2019;21;1.2;0;0;0;0;0;0;0;0;0;0;0
SAN PAOLO CIVITATE;2019;22;14.4;0.2;0;1.4;0;0;0;0;0;0;0;2.4
SAN PAOLO CIVITATE;2019;23;0;0;0;0;0;0;0;0;4.6;0.2;0;0
SAN PAOLO CIVITATE;2019;24;3;0;0;0;0;0;0;0;0;0;19;0
SAN PAOLO CIVITATE;2019;25;0.2;0;0;0;0.2;0;0;8.4;0;0;1;0
SAN PAOLO CIVITATE;2019;26;0;0;3.8;0;11.2;0;0;0;0;0;0;0
SAN PAOLO CIVITATE;2019;27;0;0;4;0;31;0;0;0;0;0.2;0;0
SAN PAOLO CIVITATE;2019;28;1.6;0;0;0;8.2;0;3.6;0;0;0;0;10
SAN PAOLO CIVITATE;2019;29;0.6;NA;0;16.2;0;0;0;0.8;0;0;0;3.4
SAN PAOLO CIVITATE;2019;30;0;NA;0;0;3.8;0;0;0;0;0;0;0.2
SAN PAOLO CIVITATE;2019;31;0;NA;0;NA;0.2;NA;0;0;NA;0;NA;0
