stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN SAMUELE DI CAFIERO;2019;1;0;0;0;0;0;30.8;0;0;0;0.2;0.2;0.2
SAN SAMUELE DI CAFIERO;2019;2;6;0;0;0;0.2;0;0;0;2.8;0;0.2;0
SAN SAMUELE DI CAFIERO;2019;3;0.2;1.2;0;0;0;0;0;0;18.4;6;1.6;0
SAN SAMUELE DI CAFIERO;2019;4;0.4;13.8;0;0;4.2;0;2.4;0;0;0;2.6;0
SAN SAMUELE DI CAFIERO;2019;5;0.4;0.2;0;0.2;0.4;0;0;0;0;0.4;0;0.4
SAN SAMUELE DI CAFIERO;2019;6;6.4;0;0;1.4;0;0;0;0;0.2;0.2;1.2;1.8
SAN SAMUELE DI CAFIERO;2019;7;0;0;0;0.8;0;0;0;0;0;19;1.2;0
SAN SAMUELE DI CAFIERO;2019;8;0.2;0.2;0;1;0;0;0;0;0.2;0.2;0.2;0.2
SAN SAMUELE DI CAFIERO;2019;9;1;0.2;0;16;0;0;0;0;0;0.2;5.6;0.2
SAN SAMUELE DI CAFIERO;2019;10;0.4;0;0;0;0;0;35.6;0;0;0;0.2;19.8
SAN SAMUELE DI CAFIERO;2019;11;0;12.4;0.2;2;0;0;0.2;0;0;0;0.4;0.4
SAN SAMUELE DI CAFIERO;2019;12;0.2;0;17;2.4;11.6;0;0.6;0;0;0.4;18.8;0
SAN SAMUELE DI CAFIERO;2019;13;0;0;1.2;2.8;11.8;0;7.4;0;0;0.2;0.8;4.4
SAN SAMUELE DI CAFIERO;2019;14;5.4;0;3;18;14.2;0;0;0;0;0;0;1
SAN SAMUELE DI CAFIERO;2019;15;2;0;0;2;3;0;0;0;0;0.2;0.2;0
SAN SAMUELE DI CAFIERO;2019;16;0;0.2;0;0;0.6;0;4;1;0;0;0;0.2
SAN SAMUELE DI CAFIERO;2019;17;0;0;0;0;0.2;0;0;0;0;0;10.2;0.2
SAN SAMUELE DI CAFIERO;2019;18;0;0;0;0;1;0;0.2;0;0;0.2;0.2;0
SAN SAMUELE DI CAFIERO;2019;19;2;0.2;1.8;0;0.2;0;0;0;0;0;0;0.2
SAN SAMUELE DI CAFIERO;2019;20;0.2;0;5.6;0;0;0;0;0;0.2;0.2;0;1
SAN SAMUELE DI CAFIERO;2019;21;0;0.2;0;0;0;0;0;0;0;0.2;0;0
SAN SAMUELE DI CAFIERO;2019;22;1.6;0.2;0;1.8;0;0;0;0;0;0.2;0;1.8
SAN SAMUELE DI CAFIERO;2019;23;0;0;0;2.6;0;0;0;0;11.2;0.2;0.2;0
SAN SAMUELE DI CAFIERO;2019;24;11.4;0;0;0;0;0;0;0;0;0.2;13;3
SAN SAMUELE DI CAFIERO;2019;25;39.6;0;0;0;0.2;0;0;0.4;0;0;7;0
SAN SAMUELE DI CAFIERO;2019;26;0.2;0;0.8;0;11.6;0;0;0;0;0.2;0;0
SAN SAMUELE DI CAFIERO;2019;27;0;0;2.8;0;0.8;0;0;0;0.2;0;0.2;0
SAN SAMUELE DI CAFIERO;2019;28;2.4;0;1.8;0;8.2;0;0.6;0;0;0.2;0;11.8
SAN SAMUELE DI CAFIERO;2019;29;0;NA;0;6.4;0;0;0;0;0;0;0;1.6
SAN SAMUELE DI CAFIERO;2019;30;0.4;NA;0;0;2.2;0;0;0;0;0;0.6;0.6
SAN SAMUELE DI CAFIERO;2019;31;0;NA;0;NA;0.2;NA;0;0;NA;0.2;NA;0
