stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAN SEVERO;2019;1;0;0;0;0;0;2;0;0;0;0;1;0
SAN SEVERO;2019;2;10.2;0;0.8;0;0;0.2;0;0;12;0;0;0
SAN SEVERO;2019;3;0.2;0;0.2;0;0;0;0;0;8.2;13.4;7.4;2
SAN SEVERO;2019;4;0.6;14;0;0;7.6;0;0;0;0;0.2;1;0
SAN SEVERO;2019;5;2.6;0;0;0.6;0.2;0;0;0;0;0;0;0
SAN SEVERO;2019;6;6;0.2;0;0;2.2;0;0;0;4.6;0;0.8;0.6
SAN SEVERO;2019;7;0.4;0;0;0;0;0;0;0;0;7;0;0
SAN SEVERO;2019;8;0;0;0;0.4;0;0;0;0;0;0;0.2;0
SAN SEVERO;2019;9;2.6;0;0;6.2;0.8;0;4.4;0;0;0;2.6;0
SAN SEVERO;2019;10;6.8;0;0;0;0;0;51.4;0;0;0;0;10.4
SAN SEVERO;2019;11;2;12.4;4.2;0;0;0;0;0;0;0;0.2;0.2
SAN SEVERO;2019;12;1;0;4.2;0.4;12;0;0.4;0;0;0;24;0
SAN SEVERO;2019;13;0;0;1.6;0.4;5.4;0;4.6;0;0;0;0.8;7.2
SAN SEVERO;2019;14;11.8;0;13.6;9.8;17.8;0;0;0.6;0;0;0;7.4
SAN SEVERO;2019;15;4.8;1;0;1.4;2;0;0.4;0;0;0;0;0
SAN SEVERO;2019;16;0;0;0;0;2.6;0;55;0;0;0;0.2;0
SAN SEVERO;2019;17;0;0;0;0;0;0;0;0;0;0;11.8;0
SAN SEVERO;2019;18;0;0;0;0;0.8;0;0;0;0;0;0;0
SAN SEVERO;2019;19;0;0;5.8;0;0;0;0;0;6.6;0;0;6
SAN SEVERO;2019;20;0.2;0;0.6;0;0;0;0;0;1.6;0;1;0.2
SAN SEVERO;2019;21;0.8;0;0;0;0;0;0;0;0;0;0;0
SAN SEVERO;2019;22;8.8;0;0;1.2;0;0;0;0;0;0.2;0;0.6
SAN SEVERO;2019;23;0;0.2;0;0;0;0;0;0;3.6;0;0;0
SAN SEVERO;2019;24;1.4;0;0;0;0;0;0;2;0;0;22.2;0
SAN SEVERO;2019;25;0.6;0;0;0;0;0;0;11.6;0;0;0;0
SAN SEVERO;2019;26;0;0;1.8;0;9.4;0;0;0;0;0;0;0
SAN SEVERO;2019;27;0;0;3.4;0;0.8;0;0;0;0;0;0;0
SAN SEVERO;2019;28;2.8;0;0;0;4.4;0;9.6;0;0;0;0;5.4
SAN SEVERO;2019;29;1.4;NA;0;11.6;0.2;0;0;0.6;0;0;0;0.2
SAN SEVERO;2019;30;0;NA;0;0;0;0;0;0;0;0;0;0
SAN SEVERO;2019;31;0;NA;0;NA;0.2;NA;0;0;NA;0;NA;0
