stazione;yy;dd;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
SAVIGNANO IRPINO;2019;1;0;1;0;0;17;6;0;0;23.6;0;1.2;0.2
SAVIGNANO IRPINO;2019;2;0.8;2.2;3.6;0;0.2;2.6;0;0;0;1.2;0;0
SAVIGNANO IRPINO;2019;3;0;1;0;0;0;0;0;0;0;6.8;40;0.2
SAVIGNANO IRPINO;2019;4;0;14.2;0;2.2;6.2;1.2;2.4;0;0;0.2;4.4;0
SAVIGNANO IRPINO;2019;5;1.8;0;0;6.4;2.6;0;0;0;3;0.4;0.4;2.4
SAVIGNANO IRPINO;2019;6;0.6;0;0;0;2;0;0;0;0;0;22;0.8
SAVIGNANO IRPINO;2019;7;6;0;0;0;0;0;0;0;0;10.2;0.2;0
SAVIGNANO IRPINO;2019;8;0;0;0;3;0;0;0;0;0.2;0;5.2;0
SAVIGNANO IRPINO;2019;9;1.2;0.2;0;3.2;0;0;9;0;3.6;0;13.4;0.6
SAVIGNANO IRPINO;2019;10;1.4;0;0;1.4;0;0;3.2;0;0;0;0;8.2
SAVIGNANO IRPINO;2019;11;3.6;8.2;7.6;1;0;0;0;0;0;0;0.4;0
SAVIGNANO IRPINO;2019;12;0.2;4.6;23.4;4.4;11;0;13.4;0;0;0;11.8;0.6
SAVIGNANO IRPINO;2019;13;0.2;2.2;0.2;0.6;20.8;0;15.2;0;0;0;6.6;8.8
SAVIGNANO IRPINO;2019;14;3.4;0;3;5.4;2.8;0;0;0;0;0;0;1.4
SAVIGNANO IRPINO;2019;15;10.6;1.4;0;11.2;8.2;0;3.8;0;0;0.2;0;0
SAVIGNANO IRPINO;2019;16;0;0;0;0.2;3.2;0;18.6;0;0;0;0;0.2
SAVIGNANO IRPINO;2019;17;0;0;0;0.4;0.2;0;0;0;0.2;0;19.4;0
SAVIGNANO IRPINO;2019;18;0.2;0;0;0;1.8;0;0;0;0.2;0;0;0
SAVIGNANO IRPINO;2019;19;1.8;0;0.2;0;2;0;0;0;11;0;0;5.6
SAVIGNANO IRPINO;2019;20;1;0.2;2.4;0;8.4;0;0;0;0.2;0.2;0;5.2
SAVIGNANO IRPINO;2019;21;1.2;0;0;0;0.2;0;0;0;0;0;0;13
SAVIGNANO IRPINO;2019;22;16.4;0.2;0;2.2;0;0;0;0;0;0;0;29.4
SAVIGNANO IRPINO;2019;23;0.6;8.4;0;0.2;0.8;0;0;15;9.8;0;0.2;1.8
SAVIGNANO IRPINO;2019;24;14.4;0;0;0;0.2;0;0;0.6;0;0;10;0
SAVIGNANO IRPINO;2019;25;18.4;0.6;0;0;0.4;0;0;12;0.2;0;21.8;0
SAVIGNANO IRPINO;2019;26;0.8;4.2;0.4;0;20.6;0;0;0;0.4;0;0.2;0
SAVIGNANO IRPINO;2019;27;0;0.8;0.4;0;4;0;0;0;0;0;0;0
SAVIGNANO IRPINO;2019;28;10.2;0;0;0;1.6;0;4.8;3;0;0;2.6;2.2
SAVIGNANO IRPINO;2019;29;3.4;NA;0;3.6;0;0;0;0.2;0;0.2;7.6;0
SAVIGNANO IRPINO;2019;30;2;NA;0;1.2;4.8;0;0;0;0;0;0.8;2
SAVIGNANO IRPINO;2019;31;0.2;NA;0;NA;0;NA;0;0;NA;14.4;NA;0
